Data;^BVSP;ALPA4
2020-01-26;118,376.36;34.73
2020-01-24;118376.000000;34.730000
2020-01-23;119528.000000;34.669998
2020-01-22;118391.000000;34.599998
2020-01-21;117026.000000;35.049999
2020-01-20;118862.000000;34.500000
2020-01-17;118478.000000;34.400002
2020-01-16;116704.000000;34.520000
2020-01-15;116414.000000;34.480000
2020-01-14;117632.000000;34.259998
2020-01-13;117325.000000;33.889999
2020-01-10;115503.000000;33.709999
2020-01-09;115947.000000;33.959999
2020-01-08;116247.000000;33.160000
2020-01-07;116662.000000;32.799999
2020-01-06;116878.000000;32.070000
2020-01-03;117707.000000;32.580002
2020-01-02;118573.000000;32.860001
2019-12-30;115964.000000;33.200001
2019-12-27;116534.000000;32.830002
2019-12-26;117203.000000;32.860001
2019-12-23;115863.000000;32.700001
2019-12-20;115121.000000;32.349998
2019-12-19;115131.000000;32.720001
2019-12-18;114315.000000;32.299999
2019-12-17;112616.000000;32.099998
2019-12-16;111896.000000;32.990002
2019-12-13;112565.000000;33.200001
2019-12-12;112200.000000;32.299999
2019-12-11;110964.000000;33.080002
2019-12-10;110672.000000;32.000000
2019-12-09;110977.000000;31.730000
2019-12-06;111126.000000;32.049999
2019-12-05;110622.000000;31.299999
2019-12-04;110301.000000;31.150000
2019-12-03;109005.000000;31.150000
2019-12-02;109061.000000;31.160000
2019-11-29;108042.000000;31.780001
2019-11-28;108290.000000;31.299999
2019-11-27;107708.000000;31.000000
2019-11-26;107059.000000;30.549999
2019-11-25;108424.000000;30.799999
2019-11-22;108692.000000;30.830000
2019-11-21;107497.000000;29.650000
2019-11-19;105618.000000;29.110001
2019-11-18;106347.000000;28.900000
2019-11-14;106557.000000;29.309999
2019-11-13;105914.000000;28.400000
2019-11-12;106785.000000;28.360001
2019-11-11;108215.000000;29.000000
2019-11-08;107629.000000;27.780001
2019-11-07;109581.000000;27.330000
2019-11-06;108336.000000;27.350000
2019-11-05;108451.000000;27.200001
2019-11-04;108601.000000;27.280001
2019-11-01;108196.000000;27.799999
2019-10-31;107220.000000;27.240000
2019-10-30;108408.000000;27.629999
2019-10-29;107556.000000;27.059999
2019-10-28;108187.000000;27.070000
2019-10-25;107364.000000;26.790001
2019-10-24;106986.000000;26.549999
2019-10-23;107544.000000;26.950001
2019-10-22;107381.000000;27.000000
2019-10-21;106022.000000;27.150000
2019-10-18;104729.000000;27.629999
2019-10-17;105016.000000;27.330000
2019-10-16;105423.000000;26.790001
2019-10-15;104490.000000;26.549999
2019-10-14;104302.000000;26.129999
2019-10-11;103832.000000;25.750000
2019-10-10;101817.000000;24.980000
2019-10-09;101249.000000;24.879999
2019-10-08;99981.000000;24.639999
2019-10-07;100573.000000;24.969999
2019-10-04;102551.000000;25.840000
2019-10-03;101516.000000;25.350000
2019-10-02;101031.000000;25.340000
2019-10-01;104053.000000;25.680000
2019-09-30;104745.000000;25.900000
2019-09-27;105078.000000;25.799999
2019-09-26;105319.000000;25.620001
2019-09-25;104481.000000;24.750000
2019-09-24;103876.000000;24.719999
2019-09-23;104638.000000;23.950001
2019-09-20;104817.000000;24.490000
2019-09-19;104339.000000;24.309999
2019-09-18;104532.000000;24.290001
2019-09-17;104617.000000;23.770000
2019-09-16;103680.000000;23.330000
2019-09-13;103501.000000;22.840000
2019-09-12;104371.000000;22.820000
2019-09-11;103446.000000;23.440001
2019-09-10;103032.000000;22.580000
2019-09-09;103181.000000;22.549999
2019-09-06;102935.000000;23.000000
2019-09-05;102243.000000;23.600000
2019-09-04;101201.000000;23.750000
2019-09-03;99681.000000;23.860001
2019-09-02;100626.000000;24.600000
2019-08-30;101135.000000;24.780001
2019-08-29;100524.000000;24.900000
2019-08-28;98194.000000;24.500000
2019-08-27;97276.000000;24.129999
2019-08-26;96430.000000;23.200001
2019-08-23;97667.000000;23.580000
2019-08-22;100011.000000;24.240000
2019-08-21;101202.000000;24.170000
2019-08-20;99222.000000;23.500000
2019-08-19;99469.000000;23.950001
2019-08-16;99806.000000;24.020000
2019-08-15;99057.000000;23.799999
2019-08-14;100258.000000;23.990000
2019-08-13;103299.000000;24.190001
2019-08-12;101915.000000;23.799999
2019-08-09;103996.000000;23.200001
2019-08-08;104115.000000;22.170000
2019-08-07;102782.000000;21.400000
2019-08-06;102164.000000;21.180000
2019-08-05;100098.000000;20.799999
2019-08-02;102674.000000;21.049999
2019-08-01;102126.000000;21.100000
2019-07-31;101812.000000;20.750000
2019-07-30;102933.000000;21.049999
2019-07-29;103483.000000;20.600000
2019-07-26;102819.000000;20.670000
2019-07-25;102655.000000;20.620001
2019-07-24;104120.000000;21.000000
2019-07-23;103704.000000;21.219999
2019-07-22;103949.000000;21.120001
2019-07-19;103452.000000;21.690001
2019-07-18;104717.000000;21.850000
2019-07-17;103856.000000;21.820000
2019-07-16;103775.000000;21.299999
2019-07-15;103803.000000;21.330000
2019-07-12;103906.000000;21.719999
2019-07-11;105146.000000;21.900000
2019-07-10;105817.000000;22.200001
2019-07-08;104530.000000;21.000000
2019-07-05;104089.000000;21.450001
2019-07-04;103636.000000;21.290001
2019-07-03;102043.000000;21.100000
2019-07-02;100605.000000;21.100000
2019-07-01;101340.000000;20.620001
2019-06-28;100967.000000;20.410000
2019-06-27;100724.000000;20.540001
2019-06-26;100689.000000;20.290001
2019-06-25;100093.000000;20.290001
2019-06-24;102062.000000;20.370001
2019-06-21;102013.000000;20.780001
2019-06-19;100303.000000;20.320000
2019-06-18;99404.000000;20.350000
2019-06-17;97623.000000;19.700001
2019-06-14;98040.000000;18.870001
2019-06-13;98774.000000;18.480000
2019-06-12;98321.000000;18.400000
2019-06-11;98960.000000;18.430000
2019-06-10;97467.000000;18.299999
2019-06-07;97821.000000;18.150000
2019-06-06;97205.000000;17.730000
2019-06-05;95999.000000;17.299999
2019-06-04;97380.000000;17.650000
2019-06-03;97020.000000;17.950001
2019-05-31;97030.000000;18.360001
2019-05-30;97457.000000;18.480000
2019-05-29;96567.000000;18.250000
2019-05-28;96393.000000;18.170000
2019-05-27;94864.000000;17.959999
2019-05-24;93628.000000;17.860001
2019-05-23;93910.000000;18.120001
2019-05-22;94361.000000;17.750000
2019-05-21;94485.000000;18.000000
2019-05-20;91946.000000;17.610001
2019-05-17;89993.000000;17.299999
2019-05-16;90024.000000;17.260000
2019-05-15;91623.000000;17.000000
2019-05-14;92092.000000;16.850000
2019-05-13;91727.000000;16.480000
2019-05-10;94258.000000;16.580000
2019-05-09;94808.000000;16.100000
2019-05-08;95597.000000;16.120001
2019-05-07;94389.000000;15.800000
2019-05-06;95009.000000;15.670000
2019-05-03;96008.000000;15.750000
2019-05-02;95528.000000;15.650000
2019-04-30;96353.000000;15.650000
2019-04-29;96188.000000;15.500000
2019-04-26;96236.000000;15.630000
2019-04-25;96552.000000;15.850000
2019-04-24;95045.000000;15.240000
2019-04-23;95923.000000;15.200000
2019-04-22;94588.000000;15.200000
2019-04-18;94578.000000;15.350000
2019-04-17;93285.000000;15.150000
2019-04-16;94333.000000;15.250000
2019-04-15;93083.000000;15.350000
2019-04-12;92875.000000;15.200000
2019-04-11;94755.000000;15.250000
2019-04-10;95953.000000;15.110000
2019-04-09;96292.000000;15.030000
2019-04-08;97369.000000;15.360000
2019-04-05;97108.000000;15.980000
2019-04-04;96313.000000;15.290000
2019-04-03;94491.000000;15.070000
2019-04-02;95387.000000;15.240000
2019-04-01;96054.000000;15.390000
2019-03-29;95415.000000;15.380000
2019-03-28;94389.000000;15.060000
2019-03-27;91903.000000;14.960000
2019-03-26;95307.000000;15.350000
2019-03-25;93662.000000;15.260000
2019-03-22;93735.000000;15.170000
2019-03-21;96729.000000;15.420000
2019-03-20;98041.000000;15.440000
2019-03-19;99588.000000;15.680000
2019-03-18;99994.000000;15.840000
2019-03-15;99137.000000;16.176001
2019-03-14;98605.000000;15.920000
2019-03-13;98904.000000;16.000000
2019-03-12;97828.000000;16.256001
2019-03-11;98027.000000;16.464001
2019-03-08;95365.000000;16.304001
2019-03-07;94340.000000;15.536000
2019-03-06;FALSO;FALSO
2019-03-01;94604.000000;15.952000
2019-02-28;95584.000000;15.344000
2019-02-27;97307.000000;15.416000
2019-02-26;97603.000000;15.320000
2019-02-25;97240.000000;15.456000
2019-02-22;97886.000000;15.256000
2019-02-21;96932.000000;15.696000
2019-02-20;96545.000000;15.600000
2019-02-19;97659.000000;16.000000
2019-02-18;96510.000000;15.688000
2019-02-15;97526.000000;15.440000
2019-02-14;98015.000000;15.800000
2019-02-13;95842.000000;15.824000
2019-02-12;96168.000000;15.888000
2019-02-11;94413.000000;15.648000
2019-02-08;95343.000000;15.856000
2019-02-07;94406.000000;15.800000
2019-02-06;94636.000000;15.960000
2019-02-05;98311.000000;16.464001
2019-02-04;98589.000000;16.271999
2019-02-01;97861.000000;16.112000
2019-01-31;97394.000000;16.048000
2019-01-30;96996.000000;16.120001
2019-01-29;95639.000000;15.992000
2019-01-28;95444.000000;16.056000
2019-01-24;97677.000000;16.160000
2019-01-23;96558.000000;15.920000
2019-01-22;95103.000000;15.672000
2019-01-21;96010.000000;15.120000
2019-01-18;96097.000000;15.040000
2019-01-17;95351.000000;15.080000
2019-01-16;94393.000000;15.120000
2019-01-15;94056.000000;15.160000
2019-01-14;94474.000000;15.200000
2019-01-11;93658.000000;15.192000
2019-01-10;93806.000000;15.200000
2019-01-09;93613.000000;15.152000
2019-01-08;92032.000000;14.160000
2019-01-07;91699.000000;13.888000
2019-01-04;91841.000000;13.920000
2019-01-03;91564.000000;14.024000
2019-01-02;91012.000000;14.000000
2018-12-28;87887.000000;13.616000
